prediction_date,actual_date,predicted_close,actual_close,excluded_states,triggered_excluded_states,actual_state,predicted_gap,actual_gap,predicted_intraday,actual_intraday,predicted_volume,actual_volume,open_correct,path_correct,close_state_correct,five_state_correct,exclusion_correct,forced_exclusion_correct,score,error_type,review_summary
2016-07-01,2016-07-05,震荡,收跌,"['大涨', '大跌']",[],大跌,平开,低开,震荡,低走,正常,正常,False,False,False,False,True,False,40,direction_and_gap_error,预测收盘✗(震荡→收跌) 开盘✗(平开→低开) 日内✗(震荡→低走) 成交量✓(正常→正常) 得分=40
2016-07-05,2016-07-06,收跌,震荡,"['大涨', '大跌']",[],震荡,平开,低开,震荡,震荡,正常,缩量,False,True,False,False,True,True,40,direction_and_gap_error,预测收盘✗(收跌→震荡) 开盘✗(平开→低开) 日内✓(震荡→震荡) 成交量✗(正常→缩量) 得分=40
2016-07-06,2016-07-07,收跌,震荡,"['大涨', '小涨']",[],震荡,平开,平开,震荡,高走,正常,缩量,True,False,False,False,True,True,40,close_direction_error,预测收盘✗(收跌→震荡) 开盘✓(平开→平开) 日内✗(震荡→高走) 成交量✗(正常→缩量) 得分=40
2016-07-07,2016-07-08,收跌,收涨,"['大涨', '大跌']",[],大涨,平开,高开,震荡,高走,正常,正常,False,False,False,False,True,False,40,direction_and_gap_error,预测收盘✗(收跌→收涨) 开盘✗(平开→高开) 日内✗(震荡→高走) 成交量✓(正常→正常) 得分=40
2016-07-08,2016-07-11,震荡,收涨,"['大涨', '大跌']",[],小涨,平开,高开,震荡,高走,缩量,正常,False,False,False,False,True,True,20,direction_and_gap_error,预测收盘✗(震荡→收涨) 开盘✗(平开→高开) 日内✗(震荡→高走) 成交量✗(缩量→正常) 得分=20
2016-07-11,2016-07-12,震荡,收涨,"['大涨', '大跌']",[],小涨,平开,高开,震荡,高走,正常,缩量,False,False,False,False,True,True,20,direction_and_gap_error,预测收盘✗(震荡→收涨) 开盘✗(平开→高开) 日内✗(震荡→高走) 成交量✗(正常→缩量) 得分=20
2016-07-12,2016-07-13,震荡,收跌,"['大跌', '大涨']",[],小跌,平开,平开,震荡,震荡,缩量,缩量,True,True,False,False,True,True,80,close_direction_error,预测收盘✗(震荡→收跌) 开盘✓(平开→平开) 日内✓(震荡→震荡) 成交量✓(缩量→缩量) 得分=80
2016-07-13,2016-07-14,震荡,收涨,"['大涨', '大跌']",[],大涨,平开,高开,震荡,高走,缩量,正常,False,False,False,False,True,False,20,direction_and_gap_error,预测收盘✗(震荡→收涨) 开盘✗(平开→高开) 日内✗(震荡→高走) 成交量✗(缩量→正常) 得分=20
2016-07-14,2016-07-15,震荡,震荡,"['大跌', '大涨']",[],震荡,平开,平开,震荡,低走,缩量,缩量,True,False,True,False,True,True,80,partial_error,预测收盘✓(震荡→震荡) 开盘✓(平开→平开) 日内✗(震荡→低走) 成交量✓(缩量→缩量) 得分=80
2016-07-15,2016-07-18,收涨,收涨,"['大跌', '大涨']",[],小涨,平开,高开,震荡,高走,缩量,缩量,False,False,True,False,True,True,60,gap_error,预测收盘✓(收涨→收涨) 开盘✗(平开→高开) 日内✗(震荡→高走) 成交量✓(缩量→缩量) 得分=60
2016-07-18,2016-07-19,收涨,收跌,"['大跌', '大涨']",[],小跌,平开,低开,震荡,低走,缩量,缩量,False,False,False,False,True,True,40,direction_and_gap_error,预测收盘✗(收涨→收跌) 开盘✗(平开→低开) 日内✗(震荡→低走) 成交量✓(缩量→缩量) 得分=40
2016-07-19,2016-07-20,震荡,收涨,"['大跌', '大涨']",[],小涨,平开,高开,震荡,高走,缩量,缩量,False,False,False,False,True,True,40,direction_and_gap_error,预测收盘✗(震荡→收涨) 开盘✗(平开→高开) 日内✗(震荡→高走) 成交量✓(缩量→缩量) 得分=40
2016-07-20,2016-07-21,收涨,收跌,"['大跌', '大涨']",[],小跌,平开,平开,震荡,低走,缩量,正常,True,False,False,False,True,True,40,close_direction_error,预测收盘✗(收涨→收跌) 开盘✓(平开→平开) 日内✗(震荡→低走) 成交量✗(缩量→正常) 得分=40
2016-07-21,2016-07-22,震荡,震荡,"['大跌', '大涨']",[],震荡,平开,低开,震荡,低走,缩量,正常,False,False,True,False,True,True,40,gap_error,预测收盘✓(震荡→震荡) 开盘✗(平开→低开) 日内✗(震荡→低走) 成交量✗(缩量→正常) 得分=40
2016-07-22,2016-07-25,震荡,震荡,"['大跌', '大涨']",[],震荡,平开,平开,震荡,高走,缩量,缩量,True,False,True,False,True,True,80,partial_error,预测收盘✓(震荡→震荡) 开盘✓(平开→平开) 日内✗(震荡→高走) 成交量✓(缩量→缩量) 得分=80
2016-07-25,2016-07-26,震荡,收涨,"['大跌', '大涨']",[],大涨,平开,高开,震荡,高走,缩量,正常,False,False,False,False,True,False,20,direction_and_gap_error,预测收盘✗(震荡→收涨) 开盘✗(平开→高开) 日内✗(震荡→高走) 成交量✗(缩量→正常) 得分=20
2016-07-26,2016-07-27,收涨,收涨,"['大跌', '大涨']",[],小涨,平开,高开,震荡,低走,缩量,正常,False,False,True,False,True,True,40,gap_error,预测收盘✓(收涨→收涨) 开盘✗(平开→高开) 日内✗(震荡→低走) 成交量✗(缩量→正常) 得分=40
2016-07-27,2016-07-28,收涨,收跌,"['大跌', '大涨']",[],小跌,平开,平开,震荡,高走,缩量,正常,True,False,False,False,True,True,40,close_direction_error,预测收盘✗(收涨→收跌) 开盘✓(平开→平开) 日内✗(震荡→高走) 成交量✗(缩量→正常) 得分=40
2016-07-28,2016-07-29,收涨,收跌,"['大跌', '大涨']",[],小跌,平开,平开,震荡,低走,缩量,正常,True,False,False,False,True,True,40,close_direction_error,预测收盘✗(收涨→收跌) 开盘✓(平开→平开) 日内✗(震荡→低走) 成交量✗(缩量→正常) 得分=40
2016-07-29,2016-08-01,震荡,收涨,"['大跌', '大涨']",[],小涨,平开,平开,震荡,震荡,缩量,正常,True,True,False,False,True,True,60,close_direction_error,预测收盘✗(震荡→收涨) 开盘✓(平开→平开) 日内✓(震荡→震荡) 成交量✗(缩量→正常) 得分=60
2016-08-01,2016-08-02,震荡,震荡,"['大跌', '大涨']",[],震荡,平开,平开,震荡,震荡,缩量,正常,True,True,True,False,True,True,80,partial_error,预测收盘✓(震荡→震荡) 开盘✓(平开→平开) 日内✓(震荡→震荡) 成交量✗(缩量→正常) 得分=80
2016-08-02,2016-08-03,震荡,收涨,"['大跌', '大涨']",[],小涨,平开,低开,震荡,高走,缩量,正常,False,False,False,False,True,True,20,direction_and_gap_error,预测收盘✗(震荡→收涨) 开盘✗(平开→低开) 日内✗(震荡→高走) 成交量✗(缩量→正常) 得分=20
2016-08-03,2016-08-04,震荡,收涨,"['大跌', '大涨']",[],小涨,平开,平开,震荡,高走,缩量,正常,True,False,False,False,True,True,40,close_direction_error,预测收盘✗(震荡→收涨) 开盘✓(平开→平开) 日内✗(震荡→高走) 成交量✗(缩量→正常) 得分=40
2016-08-04,2016-08-05,收涨,收涨,"['大跌', '大涨']",[],小涨,平开,高开,震荡,高走,缩量,正常,False,False,True,False,True,True,40,gap_error,预测收盘✓(收涨→收涨) 开盘✗(平开→高开) 日内✗(震荡→高走) 成交量✗(缩量→正常) 得分=40
2016-08-05,2016-08-08,收涨,收跌,"['大跌', '大涨']",[],小跌,平开,平开,震荡,低走,缩量,正常,True,False,False,False,True,True,40,close_direction_error,预测收盘✗(收涨→收跌) 开盘✓(平开→平开) 日内✗(震荡→低走) 成交量✗(缩量→正常) 得分=40
2016-08-08,2016-08-09,收涨,收涨,"['大跌', '大涨']",[],小涨,平开,平开,震荡,高走,缩量,放量,True,False,True,False,True,True,60,partial_error,预测收盘✓(收涨→收涨) 开盘✓(平开→平开) 日内✗(震荡→高走) 成交量✗(缩量→放量) 得分=60
2016-08-09,2016-08-10,收涨,震荡,"['大跌', '大涨']",[],震荡,平开,平开,震荡,低走,缩量,正常,True,False,False,False,True,True,40,close_direction_error,预测收盘✗(收涨→震荡) 开盘✓(平开→平开) 日内✗(震荡→低走) 成交量✗(缩量→正常) 得分=40
2016-08-10,2016-08-11,收涨,震荡,"['大跌', '大涨']",[],震荡,平开,平开,震荡,震荡,缩量,正常,True,True,False,False,True,True,60,close_direction_error,预测收盘✗(收涨→震荡) 开盘✓(平开→平开) 日内✓(震荡→震荡) 成交量✗(缩量→正常) 得分=60
2016-08-11,2016-08-12,收涨,震荡,"['大跌', '大涨']",[],震荡,平开,平开,震荡,震荡,缩量,正常,True,True,False,False,True,True,60,close_direction_error,预测收盘✗(收涨→震荡) 开盘✓(平开→平开) 日内✓(震荡→震荡) 成交量✗(缩量→正常) 得分=60
2016-08-12,2016-08-15,收涨,收涨,"['大跌', '大涨']",[],小涨,平开,高开,震荡,高走,缩量,正常,False,False,True,False,True,True,40,gap_error,预测收盘✓(收涨→收涨) 开盘✗(平开→高开) 日内✗(震荡→高走) 成交量✗(缩量→正常) 得分=40
2016-08-15,2016-08-16,收涨,收跌,"['大跌', '小跌']",[],小跌,平开,平开,震荡,低走,缩量,正常,True,False,False,False,True,False,40,close_direction_error,预测收盘✗(收涨→收跌) 开盘✓(平开→平开) 日内✗(震荡→低走) 成交量✗(缩量→正常) 得分=40
2016-08-16,2016-08-17,收涨,震荡,"['大跌', '大涨']",[],震荡,平开,平开,震荡,高走,缩量,正常,True,False,False,False,True,True,40,close_direction_error,预测收盘✗(收涨→震荡) 开盘✓(平开→平开) 日内✗(震荡→高走) 成交量✗(缩量→正常) 得分=40
2016-08-17,2016-08-18,收涨,收涨,"['大跌', '大涨']",[],小涨,平开,平开,震荡,高走,缩量,正常,True,False,True,False,True,True,60,partial_error,预测收盘✓(收涨→收涨) 开盘✓(平开→平开) 日内✗(震荡→高走) 成交量✗(缩量→正常) 得分=60
2016-08-18,2016-08-19,收涨,收涨,"['大跌', '小跌']",[],小涨,平开,平开,震荡,震荡,缩量,正常,True,True,True,False,True,True,80,partial_error,预测收盘✓(收涨→收涨) 开盘✓(平开→平开) 日内✓(震荡→震荡) 成交量✗(缩量→正常) 得分=80
2016-08-19,2016-08-22,收涨,收涨,"['大跌', '小跌']",[],小涨,平开,平开,震荡,高走,缩量,正常,True,False,True,False,True,True,60,partial_error,预测收盘✓(收涨→收涨) 开盘✓(平开→平开) 日内✗(震荡→高走) 成交量✗(缩量→正常) 得分=60
2016-08-22,2016-08-23,收涨,收涨,"['大跌', '小跌']",[],小涨,平开,平开,震荡,震荡,缩量,正常,True,True,True,False,True,True,80,partial_error,预测收盘✓(收涨→收涨) 开盘✓(平开→平开) 日内✓(震荡→震荡) 成交量✗(缩量→正常) 得分=80
2016-08-23,2016-08-24,收涨,收跌,"['大跌', '小跌']",[],小跌,平开,平开,震荡,低走,缩量,正常,True,False,False,False,True,False,40,close_direction_error,预测收盘✗(收涨→收跌) 开盘✓(平开→平开) 日内✗(震荡→低走) 成交量✗(缩量→正常) 得分=40
2016-08-24,2016-08-25,收涨,震荡,"['大跌', '小跌']",[],震荡,平开,平开,震荡,高走,缩量,正常,True,False,False,False,True,True,40,close_direction_error,预测收盘✗(收涨→震荡) 开盘✓(平开→平开) 日内✗(震荡→高走) 成交量✗(缩量→正常) 得分=40
2016-08-25,2016-08-26,收涨,收涨,"['大跌', '小跌']",[],小涨,平开,平开,震荡,震荡,缩量,正常,True,True,True,False,True,True,80,partial_error,预测收盘✓(收涨→收涨) 开盘✓(平开→平开) 日内✓(震荡→震荡) 成交量✗(缩量→正常) 得分=80
2016-08-26,2016-08-29,收涨,震荡,"['大跌', '小跌']",[],震荡,平开,平开,震荡,高走,缩量,正常,True,False,False,False,True,True,40,close_direction_error,预测收盘✗(收涨→震荡) 开盘✓(平开→平开) 日内✗(震荡→高走) 成交量✗(缩量→正常) 得分=40
2016-08-29,2016-08-30,收涨,震荡,"['大跌', '小跌']","['大跌', '小跌']",震荡,平开,平开,震荡,低走,缩量,放量,True,False,False,False,True,True,40,close_direction_error,预测收盘✗(收涨→震荡) 开盘✓(平开→平开) 日内✗(震荡→低走) 成交量✗(缩量→放量) 得分=40
2016-08-30,2016-08-31,收涨,震荡,"['大跌', '小跌']",[],震荡,平开,平开,震荡,低走,缩量,放量,True,False,False,False,True,True,40,close_direction_error,预测收盘✗(收涨→震荡) 开盘✓(平开→平开) 日内✗(震荡→低走) 成交量✗(缩量→放量) 得分=40
2016-08-31,2016-09-01,收涨,震荡,"['大跌', '小跌']",[],震荡,平开,平开,震荡,低走,正常,放量,True,False,False,False,True,True,40,close_direction_error,预测收盘✗(收涨→震荡) 开盘✓(平开→平开) 日内✗(震荡→低走) 成交量✗(正常→放量) 得分=40
2016-09-01,2016-09-02,收涨,收跌,"['大跌', '小跌']","['大跌', '小跌']",大跌,平开,平开,震荡,低走,正常,放量,True,False,False,False,False,False,20,close_direction_error,预测收盘✗(收涨→收跌) 开盘✓(平开→平开) 日内✗(震荡→低走) 成交量✗(正常→放量) 得分=20
2016-09-02,2016-09-06,收涨,收跌,"['大跌', '小跌']",[],小跌,平开,平开,震荡,低走,正常,放量,True,False,False,False,True,False,40,close_direction_error,预测收盘✗(收涨→收跌) 开盘✓(平开→平开) 日内✗(震荡→低走) 成交量✗(正常→放量) 得分=40
2016-09-06,2016-09-07,收涨,收跌,"['大跌', '小跌']",[],小跌,平开,平开,震荡,低走,正常,正常,True,False,False,False,True,False,60,close_direction_error,预测收盘✗(收涨→收跌) 开盘✓(平开→平开) 日内✗(震荡→低走) 成交量✓(正常→正常) 得分=60
2016-09-07,2016-09-08,收涨,震荡,"['大跌', '大涨']",[],震荡,平开,平开,震荡,低走,正常,正常,True,False,False,False,True,True,60,close_direction_error,预测收盘✗(收涨→震荡) 开盘✓(平开→平开) 日内✗(震荡→低走) 成交量✓(正常→正常) 得分=60
2016-09-08,2016-09-09,收涨,收跌,"['大跌', '大涨']",[],大跌,平开,低开,震荡,低走,缩量,放量,False,False,False,False,True,False,20,direction_and_gap_error,预测收盘✗(收涨→收跌) 开盘✗(平开→低开) 日内✗(震荡→低走) 成交量✗(缩量→放量) 得分=20
2016-09-09,2016-09-12,收涨,收涨,"['大跌', '大涨']",[],大涨,平开,低开,震荡,高走,正常,放量,False,False,True,False,True,False,40,gap_error,预测收盘✓(收涨→收涨) 开盘✗(平开→低开) 日内✗(震荡→高走) 成交量✗(正常→放量) 得分=40
2016-09-12,2016-09-13,收涨,震荡,"['大跌', '大涨']",[],震荡,平开,平开,震荡,高走,正常,正常,True,False,False,False,True,True,60,close_direction_error,预测收盘✗(收涨→震荡) 开盘✓(平开→平开) 日内✗(震荡→高走) 成交量✓(正常→正常) 得分=60
2016-09-13,2016-09-14,收涨,收涨,"['大跌', '小跌']",[],大涨,平开,平开,震荡,高走,正常,放量,True,False,True,False,True,True,60,partial_error,预测收盘✓(收涨→收涨) 开盘✓(平开→平开) 日内✗(震荡→高走) 成交量✗(正常→放量) 得分=60
2016-09-14,2016-09-15,收涨,收涨,"['大跌', '小跌']",[],大涨,平开,平开,震荡,高走,正常,正常,True,False,True,False,True,True,80,partial_error,预测收盘✓(收涨→收涨) 开盘✓(平开→平开) 日内✗(震荡→高走) 成交量✓(正常→正常) 得分=80
2016-09-15,2016-09-16,收涨,收跌,"['大跌', '小跌']","['大跌', '小跌']",小跌,平开,平开,震荡,低走,正常,放量,True,False,False,False,False,False,20,close_direction_error,预测收盘✗(收涨→收跌) 开盘✓(平开→平开) 日内✗(震荡→低走) 成交量✗(正常→放量) 得分=20
2016-09-16,2016-09-19,收涨,震荡,"['大跌', '大涨']",[],震荡,平开,平开,震荡,震荡,正常,正常,True,True,False,False,True,True,80,close_direction_error,预测收盘✗(收涨→震荡) 开盘✓(平开→平开) 日内✓(震荡→震荡) 成交量✓(正常→正常) 得分=80
2016-09-19,2016-09-20,收涨,收跌,"['大跌', '大涨']",[],小跌,平开,高开,震荡,低走,缩量,缩量,False,False,False,False,True,True,40,direction_and_gap_error,预测收盘✗(收涨→收跌) 开盘✗(平开→高开) 日内✗(震荡→低走) 成交量✓(缩量→缩量) 得分=40
2016-09-20,2016-09-21,震荡,收涨,"['大涨', '大跌']",[],小涨,平开,平开,震荡,高走,缩量,缩量,True,False,False,False,True,True,60,close_direction_error,预测收盘✗(震荡→收涨) 开盘✓(平开→平开) 日内✗(震荡→高走) 成交量✓(缩量→缩量) 得分=60
2016-09-21,2016-09-22,收涨,收跌,"['大跌', '大涨']",[],小跌,平开,高开,震荡,低走,缩量,缩量,False,False,False,False,True,True,40,direction_and_gap_error,预测收盘✗(收涨→收跌) 开盘✗(平开→高开) 日内✗(震荡→低走) 成交量✓(缩量→缩量) 得分=40
2016-09-22,2016-09-23,震荡,收跌,"['大涨', '大跌']",[],小跌,平开,平开,震荡,低走,缩量,正常,True,False,False,False,True,True,40,close_direction_error,预测收盘✗(震荡→收跌) 开盘✓(平开→平开) 日内✗(震荡→低走) 成交量✗(缩量→正常) 得分=40
2016-09-23,2016-09-26,震荡,震荡,"['大跌', '大涨']",[],震荡,平开,低开,震荡,震荡,正常,正常,False,True,True,False,True,True,80,gap_error,预测收盘✓(震荡→震荡) 开盘✗(平开→低开) 日内✓(震荡→震荡) 成交量✓(正常→正常) 得分=80
2016-09-26,2016-09-27,收涨,收涨,"['大跌', '大涨']",[],大涨,平开,平开,震荡,高走,正常,正常,True,False,True,False,True,False,80,partial_error,预测收盘✓(收涨→收涨) 开盘✓(平开→平开) 日内✗(震荡→高走) 成交量✓(正常→正常) 得分=80
2016-09-27,2016-09-28,收涨,震荡,"['大跌', '小跌']",[],震荡,平开,高开,震荡,低走,正常,缩量,False,False,False,False,True,True,20,direction_and_gap_error,预测收盘✗(收涨→震荡) 开盘✗(平开→高开) 日内✗(震荡→低走) 成交量✗(正常→缩量) 得分=20
2016-09-28,2016-09-29,收涨,收涨,"['大跌', '大涨']",[],小涨,平开,平开,震荡,高走,缩量,正常,True,False,True,False,True,True,60,partial_error,预测收盘✓(收涨→收涨) 开盘✓(平开→平开) 日内✗(震荡→高走) 成交量✗(缩量→正常) 得分=60
2016-09-29,2016-09-30,收涨,震荡,"['大跌', '小跌']",[],震荡,平开,平开,高走,高走,正常,正常,True,True,False,False,True,True,80,close_direction_error,预测收盘✗(收涨→震荡) 开盘✓(平开→平开) 日内✓(高走→高走) 成交量✓(正常→正常) 得分=80
2016-09-30,2016-10-03,收涨,收跌,"['大跌', '大涨']",[],小跌,平开,平开,震荡,低走,正常,缩量,True,False,False,False,True,True,40,close_direction_error,预测收盘✗(收涨→收跌) 开盘✓(平开→平开) 日内✗(震荡→低走) 成交量✗(正常→缩量) 得分=40
2016-10-03,2016-10-04,震荡,收跌,"['大跌', '大涨']",[],小跌,平开,平开,震荡,低走,缩量,缩量,True,False,False,False,True,True,60,close_direction_error,预测收盘✗(震荡→收跌) 开盘✓(平开→平开) 日内✗(震荡→低走) 成交量✓(缩量→缩量) 得分=60
2016-10-04,2016-10-05,震荡,收涨,"['大涨', '大跌']",[],大涨,平开,高开,震荡,高走,缩量,正常,False,False,False,False,True,False,20,direction_and_gap_error,预测收盘✗(震荡→收涨) 开盘✗(平开→高开) 日内✗(震荡→高走) 成交量✗(缩量→正常) 得分=20
2016-10-05,2016-10-06,收涨,震荡,"['大跌', '大涨']",[],震荡,平开,平开,高走,低走,正常,缩量,True,False,False,False,True,True,40,close_direction_error,预测收盘✗(收涨→震荡) 开盘✓(平开→平开) 日内✗(高走→低走) 成交量✗(正常→缩量) 得分=40
2016-10-06,2016-10-07,震荡,震荡,"['大跌', '大涨']",[],震荡,平开,平开,震荡,低走,缩量,缩量,True,False,True,False,True,True,80,partial_error,预测收盘✓(震荡→震荡) 开盘✓(平开→平开) 日内✗(震荡→低走) 成交量✓(缩量→缩量) 得分=80
2016-10-07,2016-10-10,震荡,震荡,"['大涨', '大跌']",[],震荡,平开,平开,震荡,震荡,缩量,缩量,True,True,True,True,True,True,100,none,预测收盘✓(震荡→震荡) 开盘✓(平开→平开) 日内✓(震荡→震荡) 成交量✓(缩量→缩量) 得分=100
2016-10-10,2016-10-11,收涨,收跌,"['大跌', '大涨']",[],大跌,平开,平开,震荡,低走,缩量,正常,True,False,False,False,True,False,40,close_direction_error,预测收盘✗(收涨→收跌) 开盘✓(平开→平开) 日内✗(震荡→低走) 成交量✗(缩量→正常) 得分=40
2016-10-11,2016-10-12,震荡,震荡,"['大跌', '大涨']",[],震荡,平开,平开,低走,低走,缩量,正常,True,True,True,False,True,True,80,partial_error,预测收盘✓(震荡→震荡) 开盘✓(平开→平开) 日内✓(低走→低走) 成交量✗(缩量→正常) 得分=80
2016-10-12,2016-10-13,震荡,收跌,"['大跌', '大涨']",[],小跌,平开,低开,震荡,低走,缩量,正常,False,False,False,False,True,True,20,direction_and_gap_error,预测收盘✗(震荡→收跌) 开盘✗(平开→低开) 日内✗(震荡→低走) 成交量✗(缩量→正常) 得分=20
2016-10-13,2016-10-14,收涨,收涨,"['大跌', '大涨']",[],小涨,平开,高开,震荡,高走,缩量,正常,False,False,True,False,True,True,40,gap_error,预测收盘✓(收涨→收涨) 开盘✗(平开→高开) 日内✗(震荡→高走) 成交量✗(缩量→正常) 得分=40
2016-10-14,2016-10-17,收涨,收跌,"['大跌', '大涨']",[],小跌,平开,平开,高走,震荡,缩量,缩量,True,False,False,False,True,True,60,close_direction_error,预测收盘✗(收涨→收跌) 开盘✓(平开→平开) 日内✗(高走→震荡) 成交量✓(缩量→缩量) 得分=60
2016-10-17,2016-10-18,收涨,收涨,"['大跌', '大涨']",[],小涨,平开,高开,震荡,高走,缩量,缩量,False,False,True,False,True,True,60,gap_error,预测收盘✓(收涨→收涨) 开盘✗(平开→高开) 日内✗(震荡→高走) 成交量✓(缩量→缩量) 得分=60
2016-10-18,2016-10-19,收涨,震荡,"['大跌', '大涨']",[],震荡,平开,低开,震荡,震荡,缩量,正常,False,True,False,False,True,True,40,direction_and_gap_error,预测收盘✗(收涨→震荡) 开盘✗(平开→低开) 日内✓(震荡→震荡) 成交量✗(缩量→正常) 得分=40
2016-10-19,2016-10-20,收涨,收涨,"['大跌', '大涨']",[],小涨,平开,平开,震荡,高走,缩量,正常,True,False,True,False,True,True,60,partial_error,预测收盘✓(收涨→收涨) 开盘✓(平开→平开) 日内✗(震荡→高走) 成交量✗(缩量→正常) 得分=60
2016-10-20,2016-10-21,收涨,震荡,"['大跌', '大涨']",[],震荡,平开,低开,高走,低走,缩量,缩量,False,False,False,False,True,True,40,direction_and_gap_error,预测收盘✗(收涨→震荡) 开盘✗(平开→低开) 日内✗(高走→低走) 成交量✓(缩量→缩量) 得分=40
2016-10-21,2016-10-24,震荡,收涨,"['大跌', '大涨']",[],大涨,平开,高开,震荡,高走,缩量,正常,False,False,False,False,True,False,20,direction_and_gap_error,预测收盘✗(震荡→收涨) 开盘✗(平开→高开) 日内✗(震荡→高走) 成交量✗(缩量→正常) 得分=20
2016-10-24,2016-10-25,收涨,收跌,"['大跌', '大涨']",[],小跌,平开,平开,高走,低走,缩量,正常,True,False,False,False,True,True,40,close_direction_error,预测收盘✗(收涨→收跌) 开盘✓(平开→平开) 日内✗(高走→低走) 成交量✗(缩量→正常) 得分=40
2016-10-25,2016-10-26,收涨,震荡,"['大跌', '大涨']",[],震荡,平开,低开,震荡,高走,正常,正常,False,False,False,False,True,True,40,direction_and_gap_error,预测收盘✗(收涨→震荡) 开盘✗(平开→低开) 日内✗(震荡→高走) 成交量✓(正常→正常) 得分=40
